Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:16:26.852 -> 04:16:29,108,-31.977545,115.816284,250000,5,915000000,7,10,-63,-130,10.25,-31.977700,115.816478
12:16:28.356 -> 04:16:31,109,-31.977541,115.816284,250000,5,915000000,7,10,-64,-130,10.50,-31.977712,115.816488
12:16:29.888 -> 04:16:32,110,-31.977535,115.816292,250000,5,915000000,7,10,-63,-131,10.25,-31.977705,115.816477
12:16:31.426 -> 04:16:34,111,-31.977537,115.816292,250000,5,915000000,7,10,-64,-130,7.25,-31.977705,115.816491
12:16:32.968 -> 04:16:35,112,-31.977545,115.816284,250000,5,915000000,7,10,-63,-130,10.25,-31.977708,115.816474
12:16:34.483 -> 04:16:37,113,-31.977549,115.816284,250000,5,915000000,7,10,-63,-130,10.00,-31.977716,115.816475
12:16:36.014 -> 04:16:38,114,-31.977541,115.816292,250000,5,915000000,7,10,-63,-102,10.00,-31.977702,115.816484
12:16:37.557 -> 04:16:40,115,-31.977541,115.816292,250000,5,915000000,7,10,-64,-130,9.75,-31.977712,115.816488
12:16:39.093 -> 04:16:42,116,-31.977551,115.816292,250000,5,915000000,7,10,-63,-130,9.50,-31.977718,115.816485
12:16:40.597 -> 04:16:43,117,-31.977556,115.816292,250000,5,915000000,7,10,-64,-130,10.00,-31.977719,115.816488
12:16:42.131 -> 04:16:44,118,-31.977556,115.816292,250000,5,915000000,7,10,-63,-130,10.00,-31.977718,115.816485
12:16:43.675 -> 04:16:46,119,-31.977562,115.816292,250000,5,915000000,7,10,-63,-93,9.75,-31.977703,115.816479
12:16:45.204 -> 04:16:48,120,-31.977562,115.816292,250000,5,915000000,7,10,-63,-130,9.75,-31.977702,115.816480
12:16:46.722 -> 04:16:49,121,-31.977562,115.816292,250000,5,915000000,7,10,-63,-131,9.50,-31.977719,115.816490
12:16:48.283 -> 04:16:51,122,-31.977562,115.816292,250000,5,915000000,7,10,-63,-130,9.75,-31.977719,115.816480
12:16:49.823 -> 04:16:52,123,-31.977551,115.816292,250000,5,915000000,7,10,-63,-130,10.00,-31.977717,115.816478
12:16:51.331 -> 04:16:54,124,-31.977551,115.816292,250000,5,915000000,7,10,-62,-130,9.50,-31.977704,115.816491
12:16:52.866 -> 04:16:55,125,-31.977547,115.816292,250000,5,915000000,7,10,-70,-100,9.50,-31.977706,115.816485
12:16:54.397 -> 04:16:57,126,-31.977545,115.816299,250000,5,915000000,7,10,-63,-130,9.75,-31.977702,115.816493
12:16:55.914 -> 04:16:58,127,-31.977533,115.816299,250000,5,915000000,7,10,-62,-98,10.00,-31.977707,115.816482
12:16:57.443 -> 04:17:00,128,-31.977528,115.816299,250000,5,915000000,7,10,-63,-130,10.00,-31.977715,115.816493
12:16:58.982 -> 04:17:01,129,-31.977510,115.816307,250000,5,915000000,7,10,-62,-130,10.00,-31.977716,115.816484
12:17:00.512 -> 04:17:03,130,-31.977501,115.816307,250000,5,915000000,7,10,-63,-130,9.75,-31.977714,115.816492
12:17:02.050 -> 04:17:05,131,-31.977484,115.816315,250000,5,915000000,7,10,-62,-130,10.00,-31.977714,115.816480
12:17:03.596 -> 04:17:06,132,-31.977480,115.816315,250000,5,915000000,7,10,-63,-130,10.00,-31.977701,115.816493
12:17:05.096 -> 04:17:08,133,-31.977459,115.816322,250000,5,915000000,7,10,-62,-131,10.00,-31.977710,115.816490
