Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:25:55.777 -> 04:25:58,126,-31.977192,115.816185,250000,5,915000000,7,10,-88,-110,10.00,-31.977713,115.816487
12:25:57.298 -> 04:26:00,127,-31.977192,115.816185,250000,5,915000000,7,10,-86,-130,9.75,-31.977711,115.816490
12:25:58.857 -> 04:26:01,128,-31.977196,115.816177,250000,5,915000000,7,10,-84,-131,10.25,-31.977713,115.816477
12:26:00.373 -> 04:26:03,129,-31.977198,115.816177,250000,5,915000000,7,10,-83,-130,10.25,-31.977703,115.816486
12:26:01.918 -> 04:26:04,130,-31.977200,115.816177,250000,5,915000000,7,10,-83,-130,10.25,-31.977702,115.816489
12:26:03.436 -> 04:26:06,131,-31.977201,115.816177,250000,5,915000000,7,10,-84,-130,10.50,-31.977715,115.816478
12:26:04.971 -> 04:26:07,132,-31.977203,115.816170,250000,5,915000000,7,10,-85,-130,10.25,-31.977705,115.816489
12:26:06.513 -> 04:26:09,133,-31.977205,115.816170,250000,5,915000000,7,10,-86,-130,10.00,-31.977718,115.816475
12:26:08.031 -> 04:26:11,134,-31.977209,115.816170,250000,5,915000000,7,10,-84,-108,10.50,-31.977719,115.816482
12:26:09.556 -> 04:26:12,135,-31.977209,115.816170,250000,5,915000000,7,10,-84,-130,10.25,-31.977713,115.816477
12:26:11.105 -> 04:26:14,136,-31.977213,115.816170,250000,5,915000000,7,10,-85,-130,10.25,-31.977703,115.816483
12:26:12.609 -> 04:26:15,137,-31.977213,115.816170,250000,5,915000000,7,10,-86,-130,10.00,-31.977720,115.816475
12:26:14.160 -> 04:26:17,138,-31.977213,115.816170,250000,5,915000000,7,10,-85,-110,10.00,-31.977708,115.816493
12:26:15.702 -> 04:26:18,139,-31.977217,115.816170,250000,5,915000000,7,10,-87,-130,10.25,-31.977713,115.816488
12:26:17.205 -> 04:26:20,140,-31.977217,115.816170,250000,5,915000000,7,10,-86,-130,10.25,-31.977718,115.816494
12:26:18.735 -> 04:26:21,141,-31.977219,115.816170,250000,5,915000000,7,10,-87,-131,10.00,-31.977713,115.816478
12:26:20.286 -> 04:26:23,142,-31.977219,115.816170,250000,5,915000000,7,10,-85,-110,10.00,-31.977702,115.816479
12:26:21.819 -> 04:26:24,143,-31.977222,115.816170,250000,5,915000000,7,10,-84,-106,10.25,-31.977714,115.816493
12:26:23.360 -> 04:26:26,144,-31.977222,115.816170,250000,5,915000000,7,10,-83,-131,10.25,-31.977711,115.816492
12:26:24.859 -> 04:26:27,145,-31.977226,115.816170,250000,5,915000000,7,10,-84,-130,10.00,-31.977714,115.816491
12:26:26.410 -> 04:26:29,146,-31.977226,115.816170,250000,5,915000000,7,10,-85,-131,9.75,-31.977713,115.816493
12:26:27.951 -> 04:26:30,147,-31.977226,115.816170,250000,5,915000000,7,10,-85,-130,10.00,-31.977703,115.816491
12:26:29.450 -> 04:26:32,148,-31.977226,115.816170,250000,5,915000000,7,10,-85,-130,10.25,-31.977714,115.816480
12:26:30.991 -> 04:26:33,149,-31.977224,115.816170,250000,5,915000000,7,10,-83,-124,10.25,-31.977704,115.816483
